name,gender,medal_type,discipline,age
WEYANT Emma,Female,Bronze Medal,Swimming,23
NAGASE Takanori,Male,Gold Medal,Judo,31
GRIGALASHVILI Tato,Male,Silver Medal,Judo,25
LEE Joonhwan,Male,Bronze Medal,Judo,22
MAKHMADBEKOV Somon,Male,Bronze Medal,Judo,25
LESKI Andreja,Female,Gold Medal,Judo,27
AWITI ALCARAZ Prisca,Female,Silver Medal,Judo,28
AGBEGNENOU Clarisse,Female,Bronze Medal,Judo,32
FAZLIU Laura,Female,Bronze Medal,Judo,24
HALES Nathan,Male,Gold Medal,Shooting,28
QI Ying,Male,Silver Medal,Shooting,27
BROL CARDENAS Jean Pierre,Male,Bronze Medal,Shooting,42
WIFFEN Daniel,Male,Gold Medal,Swimming,23
FINKE Bobby,Male,Silver Medal,Swimming,25
PALTRINIERI Gregorio,Male,Bronze Medal,Swimming,30
McKEOWN Kaylee,Female,Gold Medal,Swimming,23
SMITH Regan,Female,Silver Medal,Swimming,22
BERKOFF Katharine,Female,Bronze Medal,Swimming,23
OKA Shinnosuke,Male,Gold Medal,Artistic Gymnastics,21
ZHANG Boheng,Male,Silver Medal,Artistic Gymnastics,24
XIAO Ruoteng,Male,Bronze Medal,Artistic Gymnastics,28
FOX Jessica,Female,Gold Medal,Canoe Slalom,30
LILIK Elena,Female,Silver Medal,Canoe Slalom,26
LEIBFARTH Evy,Female,Bronze Medal,Canoe Slalom,20
TORRES GIL Jose,Male,Gold Medal,Cycling BMX Freestyle,29
REILLY Kieran Darren David,Male,Silver Medal,Cycling BMX Freestyle,23
JEANJEAN Anthony,Male,Bronze Medal,Cycling BMX Freestyle,26
DENG Yawen,Female,Gold Medal,Cycling BMX Freestyle,19
BENEGAS Perris,Female,Silver Medal,Cycling BMX Freestyle,29
DIEHM Natalya,Female,Bronze Medal,Cycling BMX Freestyle,27
BEKAURI Lasha,Male,Gold Medal,Judo,24
MURAO Sanshiro,Male,Silver Medal,Judo,24
NGAYAP HAMBOU Maxime-Gael,Male,Bronze Medal,Judo,23
TSELIDIS Theodoros,Male,Bronze Medal,Judo,28
MATIC Barbara,Female,Gold Medal,Judo,30
BUTKEREIT Miriam,Female,Silver Medal,Judo,30
POLLERES Michaela,Female,Bronze Medal,Judo,27
WILLEMS Gabriella,Female,Bronze Medal,Judo,27
RUANO OLIVA Adriana,Female,Gold Medal,Shooting,29
STANCO Silvana Maria,Female,Silver Medal,Shooting,31
SMITH Penny,Female,Bronze Medal,Shooting,29
PAN Zhanle,Male,Gold Medal,Swimming,20
CHALMERS Kyle,Male,Silver Medal,Swimming,26
POPOVICI David,Male,Bronze Medal,Swimming,20
MARCHAND Leon,Male,Gold Medal,Swimming,22
STUBBLETY-COOK Zac,Male,Silver Medal,Swimming,25
CORBEAU Caspar,Male,Bronze Medal,Swimming,23
MARCHAND Leon,Male,Gold Medal,Swimming,22
MILAK Kristof,Male,Silver Medal,Swimming,24
KHARUN Ilya,Male,Bronze Medal,Swimming,19
SJOESTROEM Sarah,Female,Gold Medal,Swimming,31
HUSKE Torri,Female,Silver Medal,Swimming,22
HAUGHEY Siobhan Bernadette,Female,Bronze Medal,Swimming,27
LEDECKY Katie,Female,Gold Medal,Swimming,27
KIRPICHNIKOVA Anastasiia,Female,Silver Medal,Swimming,24
GOSE Isabel,Female,Bronze Medal,Swimming,22
YEE Alex,Male,Gold Medal,Triathlon,26
WILDE Hayden,Male,Silver Medal,Triathlon,27
BERGERE Leo,Male,Bronze Medal,Triathlon,28
BEAUGRAND Cassandre,Female,Gold Medal,Triathlon,27
DERRON Julie,Female,Silver Medal,Triathlon,28
POTTER Beth,Female,Bronze Medal,Triathlon,33
BILES Simone,Female,Gold Medal,Artistic Gymnastics,27
ANDRADE Rebeca,Female,Silver Medal,Artistic Gymnastics,25
LEE Sunisa,Female,Bronze Medal,Artistic Gymnastics,21
PINTADO Brian Daniel,Male,Gold Medal,Athletics,29
BONFIM Caio,Male,Silver Medal,Athletics,33
MARTIN Alvaro,Male,Bronze Medal,Athletics,30
YANG Jiayu,Female,Gold Medal,Athletics,28
PEREZ Maria,Female,Silver Medal,Athletics,35
PEREZ Maria,Female,Silver Medal,Athletics,28
MONTAG Jemima,Female,Bronze Medal,Athletics,26
de GENNARO Giovanni,Male,Gold Medal,Canoe Slalom,32
CASTRYCK Titouan,Male,Silver Medal,Canoe Slalom,20
ECHANIZ Pau,Male,Bronze Medal,Canoe Slalom,23
KOTSOIEV Zelym,Male,Gold Medal,Judo,26
SULAMANIDZE Ilia,Male,Silver Medal,Judo,23
PALTCHIK Peter,Male,Bronze Medal,Judo,32
TUROBOYEV Muzaffarbek,Male,Bronze Medal,Judo,24
BELLANDI Alice,Female,Gold Medal,Judo,26
LANIR Inbar,Female,Silver Medal,Judo,24
MA Zhenzhao,Female,Bronze Medal,Judo,26
SAMPAIO Patricia,Female,Bronze Medal,Judo,25
LIU Yukun,Male,Gold Medal,Shooting,27
KULISH Serhiy,Male,Silver Medal,Shooting,31
KUSALE Swapnil,Male,Bronze Medal,Shooting,29
KOS Hubert,Male,Gold Medal,Swimming,21
CHRISTOU Apostolos,Male,Silver Medal,Swimming,28
MITYUKOV Roman,Male,Bronze Medal,Swimming,24
DOUGLASS Kate,Female,Gold Medal,Swimming,23
SMITH Tatjana,Female,Silver Medal,Swimming,27
SCHOUTEN Tes,Female,Bronze Medal,Swimming,24
McINTOSH Summer,Female,Gold Medal,Swimming,18
SMITH Regan,Female,Silver Medal,Swimming,22
ZHANG Yufei,Female,Bronze Medal,Swimming,26
CHEPTEGEI Joshua,Male,Gold Medal,Athletics,28
AREGAWI Berihu,Male,Silver Medal,Athletics,23
FISHER Grant,Male,Bronze Medal,Athletics,27
DAUDET Joris,Male,Gold Medal,Cycling BMX Racing,33
ANDRE Sylvain,Male,Silver Medal,Cycling BMX Racing,32
MAHIEU Romain,Male,Bronze Medal,Cycling BMX Racing,29
SAKAKIBARA Saya,Female,Gold Medal,Cycling BMX Racing,25
VEENSTRA Manon,Female,Silver Medal,Cycling BMX Racing,26
CLAESSENS Zoe,Female,Bronze Medal,Cycling BMX Racing,23
RINER Teddy,Male,Gold Medal,Judo,35
KIM Minjong,Male,Silver Medal,Judo,24
RAKHIMOV Temur,Male,Bronze Medal,Judo,27
YUSUPOV Alisher,Male,Bronze Medal,Judo,26
SOUZA Beatriz,Female,Gold Medal,Judo,26
HERSHKO Raz,Female,Silver Medal,Judo,26
KIM Hayun,Female,Bronze Medal,Judo,24
DICKO Romane,Female,Bronze Medal,Judo,25
LEONE Chiara,Female,Gold Medal,Shooting,26
MADDALENA Sagen,Female,Silver Medal,Shooting,31
ZHANG Qiongyue,Female,Bronze Medal,Shooting,20
MARCHAND Leon,Male,Gold Medal,Swimming,22
SCOTT Duncan,Male,Silver Medal,Swimming,27
WANG Shun,Male,Bronze Medal,Swimming,30
McEVOY Cameron,Male,Gold Medal,Swimming,30
PROUD Benjamin,Male,Silver Medal,Swimming,30
MANAUDOU Florent,Male,Bronze Medal,Swimming,34
McKEOWN Kaylee,Female,Gold Medal,Swimming,23
SMITH Regan,Female,Silver Medal,Swimming,22
MASSE Kylie,Female,Bronze Medal,Swimming,28
SWIATEK Iga,Female,Bronze Medal,Tennis,23
LITVINOVICH Ivan,Male,Gold Medal,Trampoline Gymnastics,23
WANG Zisai,Male,Silver Medal,Trampoline Gymnastics,18
YAN Langyu,Male,Bronze Medal,Trampoline Gymnastics,25
PAGE Bryony,Female,Gold Medal,Trampoline Gymnastics,34
BARDZILOUSKAYA Viyaleta,Female,Silver Medal,Trampoline Gymnastics,19
METHOT Sophiane,Female,Bronze Medal,Trampoline Gymnastics,26
LIM Sihyeon,Female,Gold Medal,Archery,21
NAM Suhyeon,Female,Silver Medal,Archery,19
BARBELIN Lisa,Female,Bronze Medal,Archery,24
YULO Carlos Edriel,Male,Gold Medal,Artistic Gymnastics,24
DOLGOPYAT Artem,Male,Silver Medal,Artistic Gymnastics,27
JARMAN Jake,Male,Bronze Medal,Artistic Gymnastics,23
Mc CLENAGHAN Rhys,Male,Gold Medal,Artistic Gymnastics,25
KURBANOV Nariman,Male,Silver Medal,Artistic Gymnastics,27
NEDOROSCIK Stephen,Male,Bronze Medal,Artistic Gymnastics,26
BILES Simone,Female,Gold Medal,Artistic Gymnastics,27
ANDRADE Rebeca,Female,Silver Medal,Artistic Gymnastics,25
CAREY Jade,Female,Bronze Medal,Artistic Gymnastics,24
ROOTH Markus,Male,Gold Medal,Athletics,23
NEUGEBAUER Leo,Male,Silver Medal,Athletics,24
VICTOR Lindon,Male,Bronze Medal,Athletics,31
CROUSER Ryan,Male,Gold Medal,Athletics,32
KOVACS Joe,Male,Silver Medal,Athletics,35
CAMPBELL Rajindra,Male,Bronze Medal,Athletics,28
ALFRED Julien,Female,Gold Medal,Athletics,23
RICHARDSON Sha'carri,Female,Silver Medal,Athletics,24
JEFFERSON Melissa,Female,Bronze Medal,Athletics,23
LAFOND Thea,Female,Gold Medal,Athletics,30
RICKETTS Shanieka,Female,Silver Medal,Athletics,32
MOORE Jasmine,Female,Bronze Medal,Athletics,23
WU Shih Yi,Female,Bronze Medal,Boxing,26
SOARES FERREIRA Beatriz Iasmin,Female,Bronze Medal,Boxing,32
EVENEPOEL Remco,Male,Gold Medal,Cycling Road,24
MADOUAS Valentin,Male,Silver Medal,Cycling Road,28
LAPORTE Christophe,Male,Bronze Medal,Cycling Road,32
ZEIDLER Oliver,Male,Gold Medal,Rowing,28
